NO,기업명
955,LX세미콘
954,LX인터내셔널
953,LX하우시스
952,LX홀딩스
951,MH에탄올
950,NAVER
949,NHN KCP
948,NH농협손해보험
947,NH투자증권
946,NICE
945,NICE평가정보
944,NI스틸
943,OCI홀딩스
942,PI첨단소재
941,PKC
940,POSCO홀딩스
939,RFHIC
938,S-Oil
937,SBS
936,SB성보
935,SFA반도체
934,SGC E&C
933,SGC에너지
932,SG글로벌
931,SG세계물산
930,SHD
929,SH에너지화학
928,SIMPAC
927,SJG세종
926,SK
925,SKC
924,SK가스
923,SK네트웍스
922,SK디스커버리
921,SK디앤디
920,SK바이오사이언스
919,SK스퀘어
918,SK아이이테크놀로지
917,SK오션플랜트
916,SK이노베이션
915,SK증권
914,SK케미칼
913,SK텔레콤
912,SK하이닉스
911,SM C&C
910,SM Life Design
909,SNT다이내믹스
908,SNT모티브
907,SNT에너지
906,SNT홀딩스
905,SOOP
904,SPC삼립
903,STX
902,STX엔진
901,SUN&L
900,TCC스틸
899,TP
898,TYM
897,WISCOM
896,YG PLUS
895,iM금융지주
894,가온전선
893,강남제비스코
892,강원랜드
891,강원에너지
890,갤럭시아머니트리
889,갤럭시아에스엠
888,경남은행
887,경농
886,경동나비엔
885,경동도시가스
884,경동인베스트
883,경방
882,경보제약
881,경인양행
880,경인전자
879,계룡건설산업
878,계양전기
877,고려산업
876,고려아연
875,고려제강
874,고영
873,골프존
872,광동제약
871,광명전기
870,광전자
869,광주신세계
868,광주은행
867,교보생명보험
866,교보증권
865,교촌에프앤비
864,국도화학
863,국민은행
862,국보
861,국제약품
860,그린케미칼
859,극동유화
858,금강공업
857,금비
856,금양
855,금호건설
854,금호석유화학
853,금호에이치티
852,금호전기
851,금호타이어
850,기신정기
849,기아
848,기업은행
847,까뮤이앤씨
846,깨끗한나라
845,나노신소재
844,나스미디어
843,나우IB
842,남광토건
841,남선알미늄
840,남성
839,남양유업
838,남해화학
837,네오위즈
836,네이처셀
835,네패스
834,넥센
833,넥센타이어
832,넥스틴
831,넥슨게임즈
830,넵튠
829,넷마블
828,노루페인트
827,노루홀딩스
826,녹십자
825,녹십자홀딩스
824,농심
823,농심홀딩스
822,농우바이오
821,농협금융지주
820,농협생명보험
819,농협은행
818,다스코
817,다올투자증권
816,다우기술
815,다우데이타
814,다원시스
813,다이나믹디자인
812,대교
811,대구백화점
810,대덕
809,대덕전자
808,대동
807,대동전자
806,대림바스
805,대림통상
804,대상
803,대상홀딩스
802,대성산업
801,대성에너지
800,대성홀딩스
799,대신증권
798,대양금속
797,대영포장
796,대우건설
795,대웅
794,대웅제약
793,대원강업
792,대원전선
791,대원제약
790,대원화성
789,대주전자재료
788,대창
787,대창단조
786,대한방직
785,대한유화
784,대한전선
783,대한제강
782,대한제당
781,대한제분
780,대한항공
779,대한해운
778,대한화섬
777,대현
776,대호에이엘
775,더네이쳐홀딩스
774,더블유게임즈
773,더블유씨피
772,더존비즈온
771,덕산네오룩스
770,덕성
769,데브시스터즈
768,덴티움
767,도화엔지니어링
766,동국제약
765,동국홀딩스
764,동남합성
763,동방
762,동방아그로
761,동부건설
760,동서
759,동성제약
758,동성케미컬
757,동아쏘시오홀딩스
756,동아에스티
755,동아지질
754,동아타이어
753,동양
752,동양고속
751,동양생명
750,동양철관
749,동양피스톤
748,동원F&B
747,동원금속
746,동원산업
745,동원수산
744,동원시스템즈
743,동일고무벨트
742,동일산업
741,동일제강
740,동진쎄미켐
739,동화기업
738,동화약품
737,두산
736,두산밥캣
735,두산에너빌리티
734,두산테스나
733,두산퓨얼셀
732,두올
731,드림어스컴퍼니
730,드림텍
729,디씨엠
728,디아이
727,디아이동일
726,디아이씨
725,디어유
724,디와이
723,디와이덕양
722,디와이파워
721,라이나생명보험
720,락앤락
719,레이크머티리얼즈
718,레인보우로보틱스
717,로보스타
716,롯데관광개발
715,롯데렌탈
714,롯데손해보험
713,롯데쇼핑
712,롯데에너지머티리얼즈
711,롯데웰푸드
710,롯데이노베이트
709,롯데정밀화학
708,롯데지주
707,롯데칠성음료
706,롯데카드
705,롯데캐피탈
704,롯데케미칼
703,롯데하이마트
702,루닛
701,리가켐바이오
700,리노공업
699,리튬포어스
698,마니커
697,만호제강
696,매일유업
695,멀티캠퍼스
694,메가스터디교육
693,메디톡스
692,메리츠금융지주
691,메리츠증권
690,메리츠캐피탈
689,메리츠화재해상보험
688,메이슨캐피탈
687,메지온
686,메타랩스
685,메타케어
684,메트라이프생명보험
683,명문제약
682,명신산업
681,모나리자
680,모나미
679,모나용평
678,모델솔루션
677,모두투어
676,모토닉
675,모트렉스
674,무림P&P
673,무림페이퍼
672,무학
671,문배철강
670,미래나노텍
669,미래산업
668,미래아이앤지
667,미래에셋벤처투자
666,미래에셋생명
665,미래에셋증권
664,미래에셋캐피탈
663,미스토홀딩스
662,미원상사
661,미원에스씨
660,미원홀딩스
659,미원화학
658,미창석유공업
657,바이오노트
656,바이오니아
655,바텍
654,박셀바이오
653,방림
652,백산
651,범양건영
650,벽산
649,보락
648,보령
647,보로노이
646,보해양조
645,부광약품
644,부국증권
643,부국철강
642,부산산업
641,부산은행
640,부산주공
639,비비안
638,비상교육
637,비씨카드
636,비에이치
635,비엠더블유파이낸셜서비스코리아
634,빙그레
633,사람인
632,사조대림
631,사조동아원
630,사조산업
629,사조씨푸드
628,사조오양
627,산은캐피탈
626,삼부토건
625,삼성E&A
624,삼성SDI
623,삼성공조
622,삼성물산
621,삼성바이오로직스
620,삼성생명
619,삼성에스디에스
618,삼성전기
617,삼성전자
616,삼성제약
615,삼성중공업
614,삼성증권
613,삼성출판사
612,삼성카드
611,삼성화재해상보험
610,삼아알미늄
609,삼양사
608,삼양식품
607,삼양통상
606,삼양패키징
605,삼양홀딩스
604,삼영
603,삼영무역
602,삼영전자공업
601,삼원강재
600,삼익THK
599,삼익악기
598,삼일씨엔에스
597,삼일제약
596,삼정펄프
595,삼진제약
594,삼천당제약
593,삼천리
592,삼표시멘트
591,삼호개발
590,삼화왕관
589,삼화전기
588,삼화전자공업
587,삼화콘덴서공업
586,삼화페인트공업
585,상상인증권
584,상신브레이크
583,상아프론테크
582,새론오토모티브
581,샘표
580,샘표식품
579,서부T&D
578,서연
577,서연이화
576,서울도시가스
575,서울반도체
574,서울보증보험
573,서울식품공업
572,서원
571,서진시스템
570,서흥
569,선도전기
568,선진
567,성문전자
566,성신양회
565,성안머티리얼스
564,성우하이텍
563,성일하이텍
562,성창기업지주
561,세기상사
560,세방
559,세방전지
558,세아베스틸지주
557,세아제강
556,세아제강지주
555,세아특수강
554,세아홀딩스
553,세우글로벌
552,세원이앤씨
551,세원정공
550,세이브존I&C
549,세진중공업
548,셀바스AI
547,셀트리온
546,셀트리온제약
545,솔루스첨단소재
544,솔루엠
543,솔브레인
542,솔브레인홀딩스
541,송원산업
540,수산세보틱스
539,수산인더스트리
538,스타에스엠리츠
537,스튜디오드래곤
536,스틱인베스트먼트
535,시그네틱스
534,시디즈
533,시알홀딩스
532,신대양제지
531,신도리코
530,신라교역
529,신라젠
528,신성델타테크
527,신성이엔지
526,신성통상
525,신세계
524,신세계I&C
523,신세계건설
522,신세계인터내셔날
521,신세계푸드
520,신송홀딩스
519,신영와코루
518,신영증권
517,신원
516,신일전자
515,신풍
514,신풍제약
513,신한라이프생명보험
512,신한은행
511,신한지주
510,신한카드
509,신한캐피탈
508,신한투자증권
507,신화인터텍
506,신흥
505,심텍
504,쌍방울
,
502,써니전자
501,쏘카
500,씨아이에스
499,씨아이테크
498,씨에스윈드
497,씨젠
496,씨티알모빌리티
495,아난티
494,아남전자
493,아모레퍼시픽
492,아모레퍼시픽그룹
491,아세아
490,아세아시멘트
489,아세아제지
488,아센디오
487,아시아나IDT
486,아시아나항공
485,아이마켓코리아
484,아이비케이연금보험
483,아이비케이캐피탈
482,아이비케이투자증권
481,아이센스
480,아이에스동서
479,아이에이치큐
478,아이엠뱅크
477,아이티엠반도체
476,아주IB투자
475,아주스틸
474,아진전자부품
473,안랩
472,알루코
471,알테오젠
470,애경산업
469,애경케미칼
468,에넥스
467,에스디바이오센서
466,에스앤에스텍
465,에스에프에이
464,에스엘
463,에스엠
462,에스엠벡셀
461,에스엠코어
460,에스원
459,에스제이엠
458,에스제이엠홀딩스
457,에스케이바이오팜
456,에스티큐브
455,에스티팜
454,에스피지
453,에쓰씨엔지니어링
452,에어부산
451,에이리츠
450,에이블씨엔씨
449,에이비엘바이오
448,에이비엘생명보험
447,에이아이에이생명보험
446,에이엔피
445,에이프로젠
444,에이프로젠바이오로직스
443,에이플러스에셋
442,에치에프알
441,에코마케팅
440,에코프로
439,에코프로비엠
438,에코프로에이치엔
437,에프에스티
436,엑시큐어하이트론
435,엔씨소프트
434,엔에이치농협캐피탈
433,엔에이치엔
432,엔케이
431,엔케이맥스
430,엔켐
429,엔피씨
428,엘앤씨바이오
427,엘앤에프
426,엘에스일렉트릭
425,엠로
424,엠씨넥스
423,영보화학
422,영원무역
421,영원무역홀딩스
420,영진약품
419,영풍
418,영풍정밀
417,영풍제지
416,영화금속
415,영흥
414,오뚜기
413,오리엔트바이오
412,오리온
411,오리온홀딩스
410,오리콤
409,오스코텍
408,온타이드
407,와이즈버즈
406,와이지엔터테인먼트
405,와이투솔루션
404,우리금융지주
403,우리금융캐피탈
402,우리기술투자
401,우리은행
400,우리종합금융
399,우리카드
398,우성
397,우신시스템
396,우진
395,우진아이엔에스
394,우진플라임
393,웅진
392,웅진씽크빅
391,원림
390,원익IPS
389,원익QnC
388,원텍
387,웰바이오텍
386,웹젠
385,위메이드
384,윌비스
383,유나이티드
382,유니드
381,유니드비티플러스
380,유니슨
379,유니온
378,유니온머티리얼
377,유니켐
376,유니퀘스트
375,유니테스트
374,유성기업
373,유수홀딩스
372,유안타증권
371,유엔젤
370,유유제약
369,유진기업
368,유진증권
367,유진테크
366,유한양행
365,유화증권
364,윤성에프앤씨
363,율촌화학
362,이건산업
361,이구산업
360,이노션
359,이녹스첨단소재
358,이니텍
357,이마트
356,이수페타시스
355,이수화학
354,이스타코
353,이아이디
352,이엔플러스
351,이엠텍
350,이연제약
349,이오테크닉스
348,이오플로우
347,이월드
346,이화산업
345,인디에프
344,인바이오젠
343,인선이엔티
342,인스코비
341,인지컨트롤스
340,인천도시가스
339,인크로스
338,인탑스
337,인터지스
336,인터플렉스
335,인텔리안테크
334,인팩
333,일동제약
332,일동홀딩스
331,일성건설
330,일성아이에스
329,일신방직
328,일신석재
327,일양약품
326,일정실업
325,일진다이아
324,일진디스플
323,일진전기
322,일진하이솔루스
321,일진홀딩스
320,잇츠한불
319,자이에스앤디
318,자화전자
317,전방
316,전북은행
315,제넥신
314,제이비우리캐피탈
313,제이시스메디칼
312,제이앤티씨
311,제이에스코퍼레이션
310,제이준코스메틱
309,제일기획
308,제일약품
307,제일연마
306,제일파마홀딩스
305,제주은행
304,제주항공
303,젬백스
302,조광페인트
301,조광피혁
300,조비
299,조선선재
298,조일알미늄
297,조흥
296,종근당
295,종근당바이오
294,종근당홀딩스
293,주성엔지니어링
292,주성코퍼레이션
291,주연테크
290,지누스
289,지씨셀
288,지엠비코리아
287,지역난방공사
286,진도
285,진양산업
284,진양폴리우레탄
283,진양홀딩스
282,진양화학
281,진에어
280,진원생명과학
279,진흥기업
278,차바이오텍
277,참엔지니어링
276,천보
275,천일고속
274,청호ICT
273,체시스
272,카카오
271,카카오게임즈
270,카카오뱅크
269,카카오페이
268,카프로
267,커넥트웨이브
266,컴투스
265,케어젠
264,케이디비생명보험
263,케이뱅크은행
262,케이비국민카드
261,케이비아이동국실업
260,케이비증권
259,케이비캐피탈
258,케이씨
257,케이씨씨
256,케이씨씨글라스
255,케이씨텍
254,케이씨티시
253,케이엔더블유
252,케이엠더블유
251,케이카
250,케이탑리츠
249,케이티
248,케이티스카이라이프
247,케이티알파
246,케이티앤지
245,코리아써키트
244,코리아에셋투자증권
243,코리안리
242,코미코
241,코미팜
240,코스맥스
239,코스맥스비티아이
238,코스모신소재
237,코스모화학
236,코아스
235,코오롱
234,코오롱ENP
233,코오롱글로벌
232,코오롱생명과학
231,코오롱인더
230,코웨이
229,코웰패션
228,콘텐트리중앙
227,콜마비앤에이치
226,콜마홀딩스
225,콤텍시스템
224,쿠쿠홀딩스
223,쿠쿠홈시스
222,큐렉소
221,큐캐피탈
220,크라운제과
219,크라운해태홀딩스
218,크래프톤
217,클래시스
216,키다리스튜디오
215,키움증권
214,키이스트
213,탑머티리얼
212,태경비케이
211,태경산업
210,태경케미컬
209,태광산업
208,태림포장
207,태양금속공업
206,태영건설
205,태원물산
204,테스
203,테이팩스
202,텔코웨어
201,토니모리
200,토스뱅크
199,티비에이치글로벌
198,티씨케이
197,티에스이
196,티에이치엔
195,티와이홀딩스
194,티웨이항공
193,티웨이홀딩스
192,티케이지휴켐스
191,티케이케미칼
190,파라다이스
189,파마리서치
188,파미셀
187,파크시스템스
186,파트론
185,팜스코
184,팜젠사이언스
183,팬오션
182,퍼스텍
181,퍼시스
180,펄어비스
179,페이퍼코리아
178,평화산업
177,평화홀딩스
176,포스코DX
175,포스코스틸리온
174,포스코엠텍
173,포스코인터내셔널
172,포스코퓨처엠
171,푸본현대생명보험
170,풀무원
169,풍산
168,풍산홀딩스
167,프로텍
166,플레이그램
165,플레이디
164,플루토스
163,피에스케이
162,피엔티
161,하나금융지주
160,하나기술
159,하나마이크론
158,하나머티리얼즈
157,하나생명보험
156,하나은행
155,하나제약
154,하나증권
153,하나카드
152,하나캐피탈
151,하나투어
150,하림
149,하림지주
148,하이드로리튬
147,하이브
146,하이스틸
145,하이투자증권
144,하이트진로
143,하이트진로홀딩스
142,한국가스공사
141,한국공항
140,한국금융지주
139,한국내화
138,한국단자공업
137,한국무브넥스
136,한국석유공업
135,한국수출포장공업
134,한국쉘석유
133,한국스탠다드차타드은행
132,한국씨티은행
131,한국앤컴퍼니
130,한국자산신탁
129,한국전력공사
128,한국전자홀딩스
127,한국정보인증
126,한국정보통신
125,한국제지
124,한국종합기술
123,한국주강
122,한국주철관공업
121,한국철강
120,한국카본
119,한국캐피탈
118,한국콜마
117,한국타이어앤테크놀로지
116,한국토지신탁
115,한국투자증권
114,한국투자캐피탈
113,한국특강
112,한국항공우주
111,한국화장품
110,한국화장품제조
109,한글과컴퓨터
108,한농화성
107,한독
106,한미글로벌
105,한미반도체
104,한미사이언스
103,한미약품
102,한샘
101,한섬
100,한성기업
99,한세실업
98,한세엠케이
97,한세예스24홀딩스
96,한솔로지스틱스
95,한솔아이원스
94,한솔인티큐브
93,한솔제지
92,한솔케미칼
91,한솔테크닉스
90,한솔피엔에스
89,한솔홀딩스
88,한솔홈데코
87,한신공영
86,한신기계공업
85,한양증권
84,한온시스템
83,한올바이오파마
82,한익스프레스
81,한일시멘트
80,한일철강
79,한일현대시멘트
78,한일홀딩스
77,한전KPS
76,한전기술
75,한전산업
74,한진
73,한진중공업홀딩스
72,한진칼
71,한창
70,한창제지
69,한컴라이프케어
68,한화
67,한화생명
66,한화손해보험
65,한화솔루션
64,한화시스템
63,한화에어로스페이스
62,한화엔진
61,한화오션
60,한화투자증권
59,해성디에스
58,해태제과식품
57,핸즈코퍼레이션
56,현대건설
55,현대글로비스
54,현대로템
53,현대리바트
52,현대모비스
51,현대바이오
50,현대바이오랜드
49,현대백화점
48,현대비앤지스틸
47,현대사료
46,현대약품
45,현대에버다임
44,현대엘리베이터
43,현대오토에버
42,현대위아
41,현대이지웰
40,현대자동차
39,현대제철
38,현대지에프홀딩스
37,현대차증권
36,현대카드
35,현대캐피탈
34,현대커머셜
33,현대코퍼레이션
32,현대코퍼레이션홀딩스
31,현대퓨처넷
30,현대해상
29,현대홈쇼핑
28,형지엘리트
27,혜인
26,호전실업
25,호텔신라
24,화승알앤에이
23,화승엔터프라이즈
22,화승인더스트리
21,화승코퍼레이션
20,화신
19,화인베스틸
18,화천기계
17,화천기공
16,환인제약
15,황금에스티
14,효성
13,효성 ITX
12,효성중공업
11,효성티앤씨
10,효성화학
9,후성
8,휴니드테크놀러지스
7,휴비스
6,휴스틸
5,휴온스
4,휴젤
3,흥국생명보험
2,흥국화재
1,흥아해운
