companyName,industry,numberOfEmployees,companyType,establishmentDate,capital,revenue,ceoName,graduateSalary,mainBusiness,hasFourInsurances,homepage,address,affiliates
CS홀딩스,컴퓨터시스템 통합 자문 및 구축 서비스업,"6,891명 (2024.12.31)",대기업,1987.01.14 (39년차),471억 9천만원 (2024.12.31),"5조 4,075억원 (2024.12.31)",현신균,"5,400만원 상세보기","컨설팅,시스템 구축/운영,토탈 아웃소싱, AI,클라우드,스마트팩토리 등 IT신기술 기반의 DX사업","국민연금, 건강보험, 고용보험, 산재보험",http://www.lgcns.com,"서울 영등포구 여의대로 24 (여의도동, 전국경제인연 .",엘지그룹 (주)엘지헬로비전 (주)LG유플러스 에이스냉동공조(주) 해태에이치티비(주) (주)미디어로그 (주)하이프라자 태극제약(주) (주)LG화학 (주)LG생활건강 (주)데이콤크로싱 (주)로보스타 (주)씨에스리더 (주)디앤오 LG전자(주) (주)비즈테크아이 (주)에프엠지 (주)아인텔레서비스 (주)LG 더보기
DB,손해 사정업,900명 (2024.12.31),대기업,1984.02.29 (42년차),10억원 (2024.12.31),"1,026억 6천만원 (2024.12.31)",유세종,N/A,손해사정(보험관련서비스)/관리업무대행,"국민연금, 건강보험, 고용보험, 산재보험",http://www.dbsonsa.com,"서울 강남구 테헤란로 432 (대치동, DB금융센터) 15층",DB그룹 디비캐피탈(주) 동부철구(주) (주)DB하이텍 (주)디비아이엔씨 디비자산운용(주) 디비생명보험(주) DB증권(주) DB손해보험(주) (주)디비저축은행 (주)디비월드 (주)디비메탈 농업회사법인대지영농(주) 디비인베스트(주) 디비씨앤에스자동차손해사정(주) 디비씨에스아이손해사정(주) 더보기
DB생명보험,손해 사정업,900명 (2024.12.31),대기업,1984.02.29 (42년차),10억원 (2024.12.31),"1,026억 6천만원 (2024.12.31)",유세종,N/A,손해사정(보험관련서비스)/관리업무대행,"국민연금, 건강보험, 고용보험, 산재보험",http://www.dbsonsa.com,"서울 강남구 테헤란로 432 (대치동, DB금융센터) 15층",DB그룹 디비캐피탈(주) 동부철구(주) (주)DB하이텍 (주)디비아이엔씨 디비자산운용(주) 디비생명보험(주) DB증권(주) DB손해보험(주) (주)디비저축은행 (주)디비월드 (주)디비메탈 농업회사법인대지영농(주) 디비인베스트(주) 디비씨앤에스자동차손해사정(주) 디비씨에스아이손해사정(주) 더보기
DB손해보험,손해 사정업,900명 (2024.12.31),대기업,1984.02.29 (42년차),10억원 (2024.12.31),"1,026억 6천만원 (2024.12.31)",유세종,N/A,손해사정(보험관련서비스)/관리업무대행,"국민연금, 건강보험, 고용보험, 산재보험",http://www.dbsonsa.com,"서울 강남구 테헤란로 432 (대치동, DB금융센터) 15층",DB그룹 디비캐피탈(주) 동부철구(주) (주)DB하이텍 (주)디비아이엔씨 디비자산운용(주) 디비생명보험(주) DB증권(주) DB손해보험(주) (주)디비저축은행 (주)디비월드 (주)디비메탈 농업회사법인대지영농(주) 디비인베스트(주) 디비씨앤에스자동차손해사정(주) 디비씨에스아이손해사정(주) 더보기
DB하이텍,비메모리용 및 기타 전자집적회로 제조업,"2,004명 (2024.12.31)",대기업,1953.04.28 (73년차),"2,225억 5천만원 (2024.12.31)","9,915억 8천만원 (2024.12.31)",조기석,"3,776만원 상세보기",반도체 제조,"국민연금, 건강보험, 고용보험, 산재보험",http://dbhitek.com,경기 부천시 수도로 90 (도당동) 디비하이텍,DB그룹 디비캐피탈(주) 동부철구(주) (주)디비아이엔씨 디비자산운용(주) 디비자동차보험손해사정(주) 디비생명보험(주) DB증권(주) DB손해보험(주) (주)디비저축은행 (주)디비월드 (주)디비메탈 농업회사법인대지영농(주) 디비인베스트(주) 디비씨앤에스자동차손해사정(주) 더보기
DGB생명보험,생명 보험업,260명,대기업 계열사·자회사,1988.06.01 (38년차),737억원,1조2858억7천만,박경원,"2,800만원",생명보험,"국민연금, 건강보험, 고용보험, 산재보험",http://www.dgbfnlife.com,"서울 서대문구 충정로 29 (충정로3가, 동아일보사건물) DGB생명",DGB금융지주그룹 (주)아이엠증권 아이엠에셋자산운용(주) (주)아이엠신용정보 (주)아이엠뱅크 (주)아이엠유페이 (주)아이엠금융지주 (주)뉴지스탁 (주)아이엠데이터시스템 아이엠투자파트너스(주)
DL,건설·시공·토목·조경,"4,795명",대기업,1939.10.10 (87년차),"4,471억 9천만원","1,102억 7백만원 (2024.12.31)",배원복,"5,360만원 상세보기",건설 및 제조업,"국민연금, 건강보험, 고용보험, 산재보험",http://www.dlenc.co.kr,"서울 종로구 통일로 134 (평동, 디타워(돈의문)) DL이앤씨",DL그룹 (주)대림 디엘모터스(주) 디엘건설(주) 글래드호텔앤리조트(주) 송도파워(주) 포천파워(주) 험프리에스엘큐원(주) 청진이삼프로젝트(주) 오산랜드마크프로젝트(주) 덕송내각고속화도로(주) 청진이삼자산관리(주) 대림투자운용(주) 제주항공우주호텔(주) 더보기
DSR제강,철강선 제조업,162명 (2024.12.31),중견기업,1971.09.01 (55년차),72억원 (2024.12.31),"2,155억 8천만원 (2024.12.31)",홍하종/홍석빈,"4,269만원 상세보기","와이어로프,각종 경강선,철선제품,PC강선,아연도 강연선 제조","국민연금, 건강보험, 고용보험, 산재보험",http://www.dsr.com,전남 순천시 서면 선평리 291 DSR제강(주),디에스알제강그룹 DSR(주)
E1,기체연료 및 관련제품 도매업,327명 (2024.12.31),대기업,1984.09.06 (42년차),343억원 (2024.12.31),"8조 9,891억원 (2024.12.31)",구자용/천정식,"4,000만원 상세보기","LPG(프로판,부탄가스),가스기기판매","국민연금, 건강보험, 고용보험, 산재보험",http://www.e1.co.kr,"서울 용산구 한강대로 92 (한강로2가, LS용산타워)",엘에스그룹 엘에스메카피온(주) 엘에스마린솔루션(주) (주)이원물류 엘에스엠앤엠(주) 엘에스빌드윈(주) (주)토리컴 (주)선우 엘에스증권(주) 엘에스이엔엠(주) (주)디케이씨 (주)모보 (주)지앤피 가온전선(주) (주)LS 제이에스전선(주) 엘에스일렉트릭(주) 엘에스글로벌인코퍼레이티드(주) 더보기
F&F,축전지 제조업,"1,643명 (2024.12.31)",중견기업,2000.07.27 (26년차),181억 4천만원 (2024.12.31),"1조 9,031억원 (2024.12.31)",최수안,N/A,"2차전지 양극활물질,액정표시장치 제조","국민연금, 건강보험, 고용보험, 산재보험",http://www.landf.co.kr,대구 달서구 이곡동로 11 (이곡동) 엘앤에프 본사,새로닉스그룹 광성전자(주) (주)새로닉스 (주)제이에이치머티리얼즈 제이에이치화학공업(주)
GKL,-,-,비영리단체·교육재단,-,-,-,김수진,N/A,-,"국민연금, 건강보험, 고용보험, 산재보험",-,"서울 중구 한강대로 416 (남대문로5가, 서울스퀘어) 5층 GKL행복어린이집 강북힐튼점",N/A
GS,백화점·유통·도소매,"8,000명",대기업,1971.02.13 (55년차),836억 7백만원 (2024.12.31),11조 3천억원 (2024.12.31),허연수,"3,581만원 상세보기",도소매,"국민연금, 건강보험, 고용보험, 산재보험",http://www.gsretail.com/,서울 강남구 역삼동 679번지 GS타워,지에스그룹 상지해운(주) 지에스엠비즈(주) (주)보헌개발 지에스이피에스(주) (주)옥산유통 이노폴리텍(주) (주)켐텍인터내셔날 지에스파워(주) 자이에스앤디(주) (주)지에스이앤알 (주)GS 센트럴모터스(주) (주)지에스스포츠 삼양통상(주) 지에스칼텍스(주) (주)지에스텔레서비스 인천종합에너지(주) 더보기
GS건설,포장 공사업,20명 (2023.12.31),중소기업,2009.02.20 (17년차),15억 5백만원 (2023.12.31),59억 1천만원 (2023.12.31),박우주,N/A,"포장공사,시설물유지공사,토목공사,상하수도공사,습식방수공사,도장공사/발전기 제조/설계,감리/건설기계 임대","국민연금, 건강보험, 고용보험, 산재보험",http://아스팔트.kr,서울 금천구 탑골로2길 46 (시흥동) 인우빌딩 4층 지에스성신건설(주),N/A
GS글로벌,상품 종합 도매업,268명 (2024.12.31),대기업,1954.07.31 (72년차),"2,063억 3천만원 (2024.12.31)","3조 5,038억원 (2024.12.31)",이영환,"2,900만원","수출입업(시멘트,철강금속,전기전자,섬유,기계화학),상품중개,광업,채석업/하수처리 서비스/부동산 임대","국민연금, 건강보험, 고용보험, 산재보험",http://www.gsgcorp.com,서울 강남구 역삼동 679번지 GS타워 10층,지에스그룹 상지해운(주) 지에스엠비즈(주) (주)보헌개발 지에스이피에스(주) (주)옥산유통 이노폴리텍(주) (주)켐텍인터내셔날 지에스파워(주) 자이에스앤디(주) (주)지에스이앤알 (주)GS 센트럴모터스(주) (주)지에스스포츠 삼양통상(주) 지에스칼텍스(주) (주)지에스텔레서비스 인천종합에너지(주) 더보기
GS리테일,백화점·유통·도소매,"8,000명",대기업,1971.02.13 (55년차),836억 7백만원 (2024.12.31),11조 3천억원 (2024.12.31),허연수,"3,581만원 상세보기",도소매,"국민연금, 건강보험, 고용보험, 산재보험",http://www.gsretail.com/,서울 강남구 역삼동 679번지 GS타워,지에스그룹 상지해운(주) 지에스엠비즈(주) (주)보헌개발 지에스이피에스(주) (주)옥산유통 이노폴리텍(주) (주)켐텍인터내셔날 지에스파워(주) 자이에스앤디(주) (주)지에스이앤알 (주)GS 센트럴모터스(주) (주)지에스스포츠 삼양통상(주) 지에스칼텍스(주) (주)지에스텔레서비스 인천종합에너지(주) 더보기
HDC,건물용 기계.장비 설치 공사업,"5,704명 (2024.12.31)",대기업,1999.09.17 (27년차),129억 7천만원 (2024.12.31),"6,288억 7백만원 (2024.12.31)",김성은,"2,960만원 상세보기","자동제어기기설치공사/자동제어기기(산업용 프로세스제어),IBS(빌딩자동화시스템) 제조,도매/인텔리전트빌딩시스템 설계,구축,홈네트워크사업","국민연금, 건강보험, 고용보험, 산재보험",http://www.hdc-labs.com,"경기 성남시 분당구 정자일로213번길 5 (정자동, 아이",에이치디씨그룹 에이치디씨아이앤콘스(주) 에이치디씨현대이피(주) 부동산일일사(주) 에이치디씨자산운용(주) 에이치디씨아이파크몰(주) 서울-춘천고속도로(주) 에이치디씨스포츠(주) 호텔에이치디씨(주) 에이치디씨영창(주) 북항아이브리지(주) 에이치디씨(주) 에이치디씨리조트(주) 미래비아이(주) 더보기
HDC랩스,건물용 기계.장비 설치 공사업,"5,704명 (2024.12.31)",대기업,1999.09.17 (27년차),129억 7천만원 (2024.12.31),"6,288억 7백만원 (2024.12.31)",김성은,"2,960만원 상세보기","자동제어기기설치공사/자동제어기기(산업용 프로세스제어),IBS(빌딩자동화시스템) 제조,도매/인텔리전트빌딩시스템 설계,구축,홈네트워크사업","국민연금, 건강보험, 고용보험, 산재보험",http://www.hdc-labs.com,"경기 성남시 분당구 정자일로213번길 5 (정자동, 아이",에이치디씨그룹 에이치디씨아이앤콘스(주) 에이치디씨현대이피(주) 부동산일일사(주) 에이치디씨자산운용(주) 에이치디씨아이파크몰(주) 서울-춘천고속도로(주) 에이치디씨스포츠(주) 호텔에이치디씨(주) 에이치디씨영창(주) 북항아이브리지(주) 에이치디씨(주) 에이치디씨리조트(주) 미래비아이(주) 더보기
HDC현대EP,화학·에너지·환경,384명 (2024.12.31),대기업,2000.01.05 (26년차),172억원 (2024.12.31),"8,093억 5백만원 (2024.12.31)",정원섭,"4,388만원 상세보기","PS/EPS, 복합PP/PE, 건자재","국민연금, 건강보험, 고용보험, 산재보험",http://www.hdc-hyundaiep.com,"충남 당진시 석문면 대호만로 1221-32 (통정리, 현대엔지니어링플라스틱(주)) 현대EP",에이치디씨그룹 에이치디씨랩스(주) 에이치디씨아이앤콘스(주) 부동산일일사(주) 에이치디씨자산운용(주) 에이치디씨아이파크몰(주) 서울-춘천고속도로(주) 에이치디씨스포츠(주) 호텔에이치디씨(주) 에이치디씨영창(주) 북항아이브리지(주) 에이치디씨(주) 에이치디씨리조트(주) 미래비아이(주) 더보기
HDC현대산업개발,아파트 건설업,"1,842명 (2024.12.31)",대기업,2018.05.02 (8년차),"3,295억 3천만원 (2024.12.31)","4조 2,113억원 (2024.12.31)",정경구/조태제,N/A,"외주주택공사,자체공사,일반건축공사,토목공사/주택신축판매/부동산 매매,임대","국민연금, 건강보험, 고용보험, 산재보험",http://www.hdc-dvp.com,"서울 용산구 한강대로23길 55 (한강로3가, 용산역) 9층",에이치디씨그룹 에이치디씨랩스(주) 에이치디씨아이앤콘스(주) 에이치디씨현대이피(주) 부동산일일사(주) 에이치디씨자산운용(주) 에이치디씨아이파크몰(주) 서울-춘천고속도로(주) 에이치디씨스포츠(주) 호텔에이치디씨(주) 에이치디씨영창(주) 북항아이브리지(주) 에이치디씨(주) 에이치디씨리조트(주) 더보기
HD현대,화학·에너지·환경,"1,930명",대기업,1964 (62년차),"1조 2,000억원",16조,주영민,N/A,원유 정제 및 석유제품 판매사업,"국민연금, 건강보험, 고용보험, 산재보험",http://www.oilbank.co.kr,서울 중구 남대문로5가 84-11 연세빌딩20층,N/A
HJ중공업,-,N/A,-,-,N/A,N/A,홍문기,"4,400만원 상세보기","주택,건축,토목,플랜트 등",N/A,-,N/A,N/A
HK이노엔,완제 의약품 제조업,"1,704명 (2024.12.31)",중견기업,2014.04.01 (12년차),144억 5천만원 (2024.12.31),"8,971억 4천만원 (2024.12.31)",곽달원,"3,924만원 상세보기","전문의약품,숙취해소음료 제조,도소매/부동산 임대/컨설팅","국민연금, 건강보험, 고용보험, 산재보험",http://www.inno-n.com,"서울 중구 을지로 100 (을지로2가, 파인에비뉴) A동 6,7,8층",콜마홀딩스그룹 콜마유엑스(주) 콜마홀딩스(주) (주)연우 (주)에치엔지 콜마스크(주) (주)넥스트앤바이오 농업회사법인근오농림(주) 콜마비앤에이치(주) 콜마생활건강(주) (주)레슬리 (주)플래닛147 콜마글로벌(주) (주)엠오디머티어리얼즈 (주)라우드랩스 (주)에이치케이케미스토리
HL만도,자동차·조선·철강·항공,"1,114명",중견기업,2008.11.26 (18년차),650억원,1.5조 이상,윤팔주,N/A,"자동차부품 개발,생산,도소매/전자 소비재 개발,응용엔지니어링,생산,판매,유통","국민연금, 건강보험, 고용보험, 산재보험",http://www.hlklemove.com,"인천 연수구 하모니로 224 (송도동, 에이치엘클레무브) HL Klemove",HL그룹 (주)제이제이한라 에이치엘홀딩스(주) 에이치엘위코(주) 에이치엘에코텍(주) 에이치엘디앤아이한라(주) 에이치엘로지스앤코(주) 목포신항만운영(주) 만도브로제(주) 배곧신도시지역특성화타운(주) 로터스프라이빗에쿼티(주) 에이치엘만도(주) 에이치엘리츠운용(주) 에이치엘로보틱스(주) 발안남양도로(주)
HMM,외항 화물 운송업,"1,890명 (2024.12.31)",대기업,1976.03.25 (50년차),"4조 4,051억원 (2024.12.31)",11조 5천억원 (2024.12.31),최원혁,"5,969만원 상세보기","정기,부정기,전용선,콘테이너선 해운","국민연금, 건강보험, 고용보험, 산재보험",http://www.hmm21.com,"서울 영등포구 여의대로 108 (여의도동, 파크원) 타워1 HMM",에이치엠엠그룹 에이치엠엠오션서비스(주) 에이치티알헤시라스(주) 에이치엔엘트랜스(주)
HS애드,광고 대행업,796명 (2024.12.31),대기업,1984.05.30 (42년차),175억 7천만원 (2024.12.31),"3,636억 1천만원 (2024.12.31)",박애리,N/A,광고대행,"국민연금, 건강보험, 고용보험, 산재보험",http://www.hsad.co.kr,"서울 마포구 마포대로 155 (공덕동, LG마포빌딩) .",엘지그룹 (주)엘지헬로비전 (주)LG유플러스 에이스냉동공조(주) 해태에이치티비(주) (주)미디어로그 (주)하이프라자 태극제약(주) (주)LG화학 (주)LG생활건강 (주)데이콤크로싱 (주)로보스타 (주)씨에스리더 (주)디앤오 LG전자(주) (주)비즈테크아이 (주)에프엠지 (주)아인텔레서비스 (주)LG 더보기
HS화성,커튼 및 침구용품 도매업,9명,중소기업,2016.10.04 (10년차),-,"8억 6,802만원 (2023.12.31)",김정훈/김석영,N/A,커튼 및 침구용품 도매업,"국민연금, 건강보험, 고용보험, 산재보험",-,경북 칠곡군 동명면 봉암2길 6 (봉암리) HS홈패션,N/A
ISC,생활화학·화장품,5명,중소기업,1991 (35년차),-,-,신종국,N/A,화장품 ( 수입.제조.유통)에스테틱 전문업체,"국민연금, 건강보험, 고용보험, 산재보험",http://iscare.co.kr,서울 용산구 효창동 5-94 아이에스씨 빌딩,N/A
JB금융지주,지주회사,102명 (2024.12.31),대기업,2013.07.01 (13년차),"9,849억 1천만원 (2024.12.31)","5,052억 5천만원 (2024.12.31)",김기홍,"5,569만원",금융지주회사,"국민연금, 건강보험, 고용보험, 산재보험",http://www.jbfg.com,서울특별시 영등포구 여의나루로 77 (여의도동) JB빌딩,JB금융그룹그룹 제이비우리캐피탈(주) (주)전북은행 제이비자산운용(주) 제이비인베스트먼트(주) (주)광주은행
JW생명과학,완제 의약품 제조업,328명 (2024.12.31),중견기업,1994.05.10 (32년차),395억 8천만원 (2024.12.31),"2,212억 9백만원 (2024.12.31)",노정열,"4,200만원 상세보기","의약품(기초수액, TPN, 특수수액, HEMO, 영양수액) 제조,도소매","국민연금, 건강보험, 고용보험, 산재보험",http://www.jw-lifescience.co.kr,충남 당진군 송악읍 한진리 416,JW그룹 (주)씨앤드씨신약연구소 제이더블유생활건강(주) 제이더블유크레아젠(주) 제이더블유케미타운(주) JW중외제약(주) 제이더블유메디칼(주) 제이더블유신약(주) JW홀딩스(주) 제이더블유바이오사이언스(주) (주)제이더블유이노스퀘어피에프브이 (주)생명누리
JW중외제약,완제 의약품 제조업,"2,181명",대기업,1945.08.08 (81년차),622억 5천만원 (2024.12.31),"6,848억",신영섭,"4,623만원 상세보기","수액제,소화기궤양치료제,항생제,항암제 제조,도매","국민연금, 건강보험, 고용보험, 산재보험",http://www.jw-holdings.co.kr,서울 서초구 서초동 남부순환로 2477 (서초동)JW타워,JW그룹 (주)씨앤드씨신약연구소 제이더블유생명과학(주) 제이더블유생활건강(주) 제이더블유크레아젠(주) 제이더블유케미타운(주) 제이더블유메디칼(주) 제이더블유신약(주) JW홀딩스(주) 제이더블유바이오사이언스(주) (주)제이더블유이노스퀘어피에프브이 (주)생명누리
JW홀딩스,제약·보건·바이오,"2,140명",중견기업,1945.08.08 (81년차),N/A,N/A,차성남,N/A,의약품 제조 및 판매,"국민연금, 건강보험, 고용보험, 산재보험",http://www.jw-holdings.co.kr,경기도 과천시 과천대로7길 38 (갈현동) JW그룹,JW그룹 (주)씨앤드씨신약연구소 제이더블유생명과학(주) 제이더블유생활건강(주) 제이더블유크레아젠(주) 제이더블유케미타운(주) JW중외제약(주) 제이더블유메디칼(주) 제이더블유신약(주) 제이더블유바이오사이언스(주) (주)제이더블유이노스퀘어피에프브이 (주)생명누리
